name,album,artist,release_date,lemgth,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
I Am Not Afraid,I Am Not Afraid / Irish Coffee,Miguel Scott,2023-02-24,441290,0,0.767,0.0445,0.597,0.707,0.214,-12.299,0.054,124.016,4
Super tal-baqra,L-Aqwa Marċi Brijużi,Soc. Filar. Maria Mater Gratiæ Żabbar AD 1883,2023-08-27,294057,0,0.761,0.0466,0.457,0.0339,0.1,-13.26,0.0313,125.891,4
Como um Passaro Ferido,Canticos Digno a Deus,Isaac Nascimento,2023-11-17,252055,1,0.395,0.769,0.158,0.0,0.142,-11.356,0.0417,120.161,4
Feeling,Ethics & Love,Da Chris,2023-07-14,155876,0,0.752,0.278,0.743,0.00173,0.0751,-10.165,0.0333,112.974,4
"Relax Your Mind,""Tibetan Singing Bowls & Bells: Buddha Healing, Sacred Prayers"",Tibetan Prayers,2023-11-14,204094,0,0.0891,0.943,0.398,0.978,0.121,-15.834,0.0334,86.117,4"
"Wasted Energy (Live From Movistar Arena Bogota, Colombia),""Inolvidable Bogota Colombia (Live from Movistar Arena Bogota, Colombia)"",Alicia Keys,2023-05-31,131303,8,0.662,0.449,0.673,8.26e-06,0.5,-6.488,0.0701,83.99,4"
Virgil's Interlude,Nice Guys Finish Last,Spencer Diamond,2023-10-11,94393,1,0.561,0.761,0.395,0.000497,0.204,-11.189,0.0514,74.075,4
HK,Radio Songs,Dave Rowntree,2023-01-20,239885,3,0.321,0.153,0.375,0.478,0.123,-14.472,0.0522,86.786,3
Love Can't Hide - Instrumental,Love Can't Hide,Saukar,2023-12-08,187333,0,0.856,0.114,0.413,0.854,0.102,-10.709,0.158,90.1,4
A White Dress,カフェで流れるのんびりハワイアンbgm,The Waikiki Moon,2023-12-06,95565,0,0.664,0.681,0.287,0.8,0.103,-16.535,0.0523,87.003,4
